id,Tip restavracije
319,Mediterranean
319,Halal
320,Sandwiches
320,Burgers
320,Delis
321,Mexican
321,Bars
322,Ice Cream & Frozen Yogurt
322,Coffee & Tea
322,Vegan
323,Vietnamese
324,Thai
325,Shanghainese
326,American (New)
326,Sports Bars
326,Sandwiches
327,Ramen
327,Noodles
327,Salad
328,Afghan
329,Bars
329,American (Traditional)
330,Coffee & Tea
330,Breakfast & Brunch
330,American (New)
331,American (Traditional)
331,Gastropubs
332,Burmese
333,Bakeries
333,Bagels
333,Breakfast & Brunch
334,Korean
334,Soup
335,Bars
335,Burgers
335,Sandwiches
336,Bars
336,American (Traditional)
337,Cafes
337,Sandwiches
337,Ice Cream & Frozen Yogurt
338,Pizza
338,Sandwiches
339,Japanese
339,Sushi Bars
339,Tapas/Small Plates
340,American (New)
340,Sports Bars
341,Hot Dogs
341,Burgers
341,Sandwiches
342,Korean
342,Bars
343,Donuts
343,Breakfast & Brunch
344,Korean
345,Seafood
346,Chinese
346,Seafood
347,American (Traditional)
347,Chicken Wings
348,Indian
349,Taiwanese
349,Bubble Tea
350,Korean
351,Burgers
351,Sports Bars
352,Japanese
352,Seafood
352,Poke
353,Cajun/Creole
353,American (Traditional)
354,Donuts
354,Coffee & Tea
354,Sandwiches
355,Sandwiches
356,American (New)
356,Cajun/Creole
357,Soul Food
357,Breakfast & Brunch
357,Waffles
358,Mexican
359,American (Traditional)
360,Italian
360,Pizza
361,American (New)
361,Steakhouses
361,Venues & Event Spaces
362,Mediterranean
362,Lebanese
362,Armenian
363,Comfort Food
363,Sandwiches
363,Poutineries
364,Breakfast & Brunch
365,American (New)
366,Cajun/Creole
366,American (New)
367,American (Traditional)
367,American (New)
367,Bars
368,American (New)
368,Seafood
369,Steakhouses
369,Seafood
369,American (Traditional)
370,Burgers
370,American (New)
370,Gastropubs
371,Seafood
371,Steakhouses
371,Sushi Bars
372,Delis
372,Italian
372,Pizza
373,American (New)
373,Salad
373,Burgers
374,Mediterranean
374,Tapas/Small Plates
375,Pizza
375,Salad
375,Gluten-Free
376,American (Traditional)
376,Breakfast & Brunch
376,Buffets
377,Chinese
377,Halal
378,Cocktail Bars
378,Wine Bars
378,Burgers
379,American (Traditional)
380,Breakfast & Brunch
380,American (Traditional)
381,Bars
381,Mediterranean
382,Indian
383,Vegan
383,Vegetarian
383,Vietnamese
384,American (New)
385,French
385,Lounges
385,American (Traditional)
386,Desserts
386,American (Traditional)
387,American (Traditional)
387,Breakfast & Brunch
387,Cafes
388,Hot Dogs
388,Food Stands
389,Seafood
389,Cajun/Creole
389,Cocktail Bars
390,Vegan
390,Vegetarian
391,Farmers Market
391,Specialty Food
392,Southern
392,Desserts
392,Cajun/Creole
393,Thai
393,Vegan
393,Vegetarian
394,Mexican
394,Breakfast & Brunch
395,Steakhouses
395,American (New)
396,Hawaiian
396,Barbeque
397,Seafood
397,Steakhouses
398,Seafood
398,Southern
398,Cajun/Creole
399,German
400,French
400,Breakfast & Brunch
400,Cafes
401,Delis
401,Breakfast & Brunch
401,Sandwiches
402,Cuban
402,Burgers
403,American (New)
403,Burgers
403,Venues & Event Spaces
404,American (New)
404,Breweries
404,Gastropubs
405,American (New)
405,Cocktail Bars
406,Turkish
406,Breakfast & Brunch
407,Italian
407,Pizza
408,Noodles
409,American (New)
409,Breweries
410,Tapas Bars
410,Spanish
410,Bars
411,Pubs
411,American (Traditional)
411,Beer Bar
412,Barbeque
412,Breweries
413,Breweries
413,Pubs
413,Vegetarian
414,Asian Fusion
415,Mexican
416,Wine Bars
416,Latin American
417,Mexican
418,Sushi Bars
418,Ramen
419,Pizza
419,Italian
420,Indian
421,Korean
422,American (Traditional)
422,Breakfast & Brunch
423,Steakhouses
424,Indian
425,Seafood
426,Seafood
426,Breakfast & Brunch
427,Middle Eastern
427,Falafel
428,Indian
429,Sushi Bars
429,Japanese
430,American (New)
431,French
431,Brasseries
431,Wine Bars
432,Italian
433,Cafes
433,Sandwiches
433,Coffee & Tea
434,Diners
434,Bars
434,American (New)
435,Sushi Bars
435,Korean
435,Diners
436,American (Traditional)
436,Lounges
437,Diners
438,Japanese
438,Sushi Bars
439,Wine Bars
439,French
439,Italian
440,Tex-Mex
440,Mexican
441,Salad
441,Pizza
441,Sandwiches
442,Pizza
442,Italian
442,Gluten-Free
443,Diners
443,Breakfast & Brunch
444,Korean
444,Barbeque
444,Bars
445,Pizza
445,Sandwiches
446,Pubs
446,American (Traditional)
447,Italian
447,Lounges
448,American (New)
449,Burgers
449,Vegetarian
449,American (New)
450,American (Traditional)
450,Pubs
451,Bagels
451,Coffee & Tea
451,Sandwiches
452,Breakfast & Brunch
452,Belgian
452,Delicatessen
453,Seafood
454,Falafel
455,Bistros
456,Belgian
456,Cafes
457,Indian
457,Vegetarian
458,Seafood
458,Fish & Chips
459,Greek
459,Tapas Bars
460,Coffee & Tea
460,Breakfast & Brunch
460,Desserts
461,Cafes
461,Breakfast & Brunch
462,Thai
463,Belgian
463,Breakfast & Brunch
464,Burgers
464,Cocktail Bars
465,Belgian
465,French
465,Breakfast & Brunch
466,Italian
467,Coffee & Tea
467,Cafes
468,Coffee & Tea
468,Desserts
468,Breakfast & Brunch
469,Belgian
470,Cafes
471,Seafood
471,Belgian
472,Belgian
472,Gluten-Free
473,Modern European
473,Venues & Event Spaces
474,Modern European
475,Cafes
476,Bistros
476,Belgian
477,Belgian
477,Gastropubs
478,Belgian
479,Mexican
480,Asian Fusion
480,Modern European
481,Vietnamese
482,Fish & Chips
483,Thai
484,Brasseries
485,Italian
485,French
485,Wine Bars
486,Belgian
487,Breakfast & Brunch
487,Belgian
488,Restaurants
489,Belgian
490,Cafes
490,Breakfast & Brunch
491,Brasseries
491,Bars
491,Belgian
492,Asian Fusion
493,Brazilian
493,Mexican
494,Italian
495,Bistros
495,Belgian
495,Burgers
496,Italian
497,Seafood
497,Modern European
498,Beer Bar
498,Belgian
499,Bistros
499,Breakfast & Brunch
499,Brasseries
500,Modern European
500,Breakfast & Brunch
501,Halal
501,Pakistani
502,Steakhouses
502,American (Traditional)
503,Pizza
503,Italian
503,Gelato
504,Vietnamese
505,Latin American
505,Peruvian
506,Bars
506,American (New)
506,Breakfast & Brunch
507,American (New)
507,Breakfast & Brunch
508,American (Traditional)
508,Coffee & Tea
508,Wine Bars
509,American (Traditional)
509,Mediterranean
509,Breakfast & Brunch
510,Tapas/Small Plates
510,Greek
510,Mediterranean
511,Thai
512,Sushi Bars
512,Asian Fusion
512,Japanese
513,Tapas Bars
513,Spanish
514,Brasseries
514,French
514,German
515,Burgers
516,American (New)
517,American (New)
518,Mexican
519,Burgers
520,Diners
520,American (Traditional)
520,Breakfast & Brunch
521,Mexican
522,Chicken Wings
522,Korean
522,Asian Fusion
523,Pakistani
523,Halal
524,Pizza
524,Sandwiches
525,Southern
525,Breakfast & Brunch
525,American (New)
526,Burgers
526,American (Traditional)
527,American (New)
527,Breakfast & Brunch
527,Bars
528,Thai
529,Pizza
529,Italian
529,Bars
530,Bars
530,Vegetarian
530,Music Venues
531,Bagels
531,Coffee & Tea
531,Sandwiches
532,Sandwiches
532,Pizza
533,Mediterranean
533,Lebanese
534,Dim Sum
535,Thai
535,Seafood
535,Vegetarian
536,Barbeque
537,Chinese
538,Tex-Mex
538,Mexican
539,Italian
539,Pizza
540,Mexican
